Tick,Time,Source,Target,Edge_Type,Weight
1,08:00,Dave,CEO VIX,TRUST,7.0
1,08:00,Mark,CEO VIX,TRUST,7.0
1,08:00,Bob,CEO VIX,TRUST,7.0
1,08:00,Bob,MARK,SUSPICION,2.0
1,08:00,Alice,CEO VIX,TRUST,7.0
2,08:30,Mark,CEO VIX,TRUST,7.0
2,08:30,Bob,CEO VIX,TRUST,7.0
2,08:30,Bob,MARK,SUSPICION,1.5
2,08:30,Dave,CEO VIX,TRUST,7.0
2,08:30,Dave,MARK,SUSPICION,2.0
2,08:30,Alice,CEO VIX,TRUST,7.0
2,08:30,Alice,BOB,SUSPICION,2.0
3,09:00,Bob,CEO VIX,TRUST,7.3
3,09:00,Bob,MARK,SUSPICION,1.0
3,09:00,Mark,CEO VIX,TRUST,6.2
3,09:00,Dave,CEO VIX,TRUST,7.3
3,09:00,Dave,MARK,SUSPICION,3.5
3,09:00,Alice,CEO VIX,TRUST,6.2
3,09:00,Alice,BOB,SUSPICION,3.5
4,09:30,Bob,CEO VIX,TRUST,7.3
4,09:30,Bob,MARK,SUSPICION,0.5
4,09:30,Alice,CEO VIX,TRUST,6.2
4,09:30,Alice,MARK,SUSPICION,2.0
4,09:30,Alice,BOB,SUSPICION,3.0
4,09:30,Mark,CEO VIX,TRUST,6.2
4,09:30,Dave,CEO VIX,TRUST,7.3
4,09:30,Dave,ALICE,SUSPICION,2.0
4,09:30,Dave,MARK,SUSPICION,3.0
5,10:00,Dave,CEO VIX,TRUST,7.3
5,10:00,Dave,ALICE,SUSPICION,1.5
5,10:00,Dave,MARK,SUSPICION,2.5
5,10:00,Bob,CEO VIX,TRUST,7.6
5,10:00,Mark,CEO VIX,TRUST,6.2
5,10:00,Alice,CEO VIX,TRUST,6.5
5,10:00,Alice,DAVE,SUSPICION,2.0
5,10:00,Alice,MARK,SUSPICION,1.5
5,10:00,Alice,BOB,SUSPICION,2.5
6,10:30,Dave,CEO VIX,TRUST,7.3
6,10:30,Dave,ALICE,SUSPICION,1.0
6,10:30,Dave,MARK,SUSPICION,2.0
6,10:30,Dave,BOB,SUSPICION,2.0
6,10:30,Alice,CEO VIX,TRUST,6.5
6,10:30,Alice,DAVE,SUSPICION,1.5
6,10:30,Alice,MARK,SUSPICION,1.0
6,10:30,Alice,BOB,SUSPICION,4.0
6,10:30,Mark,CEO VIX,TRUST,6.2
6,10:30,Mark,BOB,SUSPICION,2.0
6,10:30,Bob,CEO VIX,TRUST,7.6
7,11:00,Dave,CEO VIX,TRUST,7.3
7,11:00,Dave,ALICE,SUSPICION,0.5
7,11:00,Dave,MARK,SUSPICION,1.5
7,11:00,Dave,BOB,SUSPICION,3.5
7,11:00,Bob,CEO VIX,TRUST,7.6
7,11:00,Bob,MARK,SUSPICION,2.0
7,11:00,Mark,CEO VIX,TRUST,6.2
7,11:00,Mark,BOB,SUSPICION,3.5
7,11:00,Alice,CEO VIX,TRUST,6.5
7,11:00,Alice,DAVE,SUSPICION,1.0
7,11:00,Alice,MARK,SUSPICION,0.5
7,11:00,Alice,BOB,SUSPICION,5.5
8,11:30,Dave,CEO VIX,TRUST,7.3
8,11:30,Dave,MARK,SUSPICION,1.0
8,11:30,Dave,BOB,SUSPICION,5.0
8,11:30,Bob,CEO VIX,TRUST,7.6
8,11:30,Bob,MARK,SUSPICION,1.5
8,11:30,Alice,CEO VIX,TRUST,6.5
8,11:30,Alice,DAVE,SUSPICION,0.5
8,11:30,Alice,BOB,SUSPICION,5.0
8,11:30,Mark,CEO VIX,TRUST,6.2
8,11:30,Mark,BOB,SUSPICION,3.0
9,12:00,Alice,CEO VIX,TRUST,6.5
9,12:00,Alice,BOB,SUSPICION,6.5
9,12:00,Dave,CEO VIX,TRUST,7.3
9,12:00,Dave,MARK,SUSPICION,2.5
